,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-870.0,0.569,0.1472,0.0657,0.929,0.062,-870.0,-900,-840,0.0657
-860.0,0.569,0.1472,0.0839,0.929,0.062,-860.0,-890,-830,0.0839
-850.0,0.569,0.1472,0.1168,0.929,0.062,-850.0,-880,-820,0.1168
-840.0,0.569,0.1472,0.1542,0.929,0.062,-840.0,-870,-810,0.1542
-830.0,0.569,0.1472,0.1857,0.929,0.062,-830.0,-860,-800,0.1857
-820.0,0.569,0.1472,0.1991,0.929,0.062,-820.0,-850,-790,0.1991
-810.0,0.569,0.1472,0.2291,0.929,0.062,-810.0,-840,-780,0.2291
-800.0,0.569,0.1472,0.1943,0.929,0.062,-800.0,-830,-770,0.1943
-790.0,0.569,0.1472,0.1495,0.929,0.062,-790.0,-820,-760,0.1495
-780.0,0.569,0.1472,0.1641,0.929,0.062,-780.0,-810,-750,0.1641
-770.0,0.569,0.1472,0.1651,0.929,0.062,-770.0,-800,-740,0.1651
-760.0,0.569,0.1472,0.1411,0.929,0.062,-760.0,-790,-730,0.1411
-750.0,0.569,0.1472,0.1133,0.929,0.062,-750.0,-780,-720,0.1133
-740.0,0.569,0.1472,0.1331,0.929,0.062,-740.0,-770,-710,0.1331
-730.0,0.569,0.1472,0.1518,0.929,0.062,-730.0,-760,-700,0.1518
-720.0,0.569,0.1472,0.0994,0.929,0.062,-720.0,-750,-690,0.0994
-710.0,0.569,0.1472,0.094,0.929,0.062,-710.0,-740,-680,0.094
-700.0,0.569,0.1472,0.1022,0.929,0.062,-700.0,-730,-670,0.1022
-690.0,0.569,0.1472,0.1082,0.929,0.062,-690.0,-720,-660,0.1082
-680.0,0.569,0.1472,0.0887,0.929,0.062,-680.0,-710,-650,0.0887
-670.0,0.569,0.1472,0.0824,0.929,0.062,-670.0,-700,-640,0.0824
-660.0,0.569,0.1472,0.116,0.929,0.062,-660.0,-690,-630,0.116
-650.0,0.569,0.1472,0.1145,0.929,0.062,-650.0,-680,-620,0.1145
-640.0,0.569,0.1472,0.1284,0.929,0.062,-640.0,-670,-610,0.1284
-630.0,0.569,0.1472,0.1245,0.929,0.062,-630.0,-660,-600,0.1245
-620.0,0.569,0.1472,0.1206,0.929,0.062,-620.0,-650,-590,0.1206
-610.0,0.569,0.1472,0.1188,0.929,0.062,-610.0,-640,-580,0.1188
-600.0,0.569,0.1472,0.1023,0.929,0.062,-600.0,-630,-570,0.1023
-590.0,0.569,0.1472,0.0926,0.929,0.062,-590.0,-620,-560,0.0926
-580.0,0.569,0.1472,0.0907,0.929,0.062,-580.0,-610,-550,0.0907
-570.0,0.569,0.1472,0.0669,0.929,0.062,-570.0,-600,-540,0.0669
-560.0,0.569,0.1472,0.0635,0.929,0.062,-560.0,-590,-530,0.0635
-550.0,0.569,0.1472,0.0466,0.929,0.062,-550.0,-580,-520,0.0466
-540.0,0.569,0.1472,0.0385,0.929,0.062,-540.0,-570,-510,0.0385
-530.0,0.569,0.1472,0.0468,0.929,0.062,-530.0,-560,-500,0.0468
-520.0,0.569,0.1472,0.0381,0.929,0.062,-520.0,-550,-490,0.0381
-510.0,0.569,0.1472,0.0553,0.929,0.062,-510.0,-540,-480,0.0553
-500.0,0.569,0.1472,0.0802,0.929,0.062,-500.0,-530,-470,0.0802
-490.0,0.569,0.1472,0.1165,0.929,0.062,-490.0,-520,-460,0.1165
-480.0,0.569,0.1472,0.1467,0.929,0.062,-480.0,-510,-450,0.1467
-470.0,0.569,0.1472,0.1513,0.929,0.062,-470.0,-500,-440,0.1513
-460.0,0.569,0.1472,0.1896,0.929,0.062,-460.0,-490,-430,0.1896
-450.0,0.569,0.1472,0.2021,0.929,0.062,-450.0,-480,-420,0.2021
-440.0,0.569,0.1472,0.183,0.929,0.062,-440.0,-470,-410,0.183
-430.0,0.569,0.1472,0.149,0.929,0.062,-430.0,-460,-400,0.149
-420.0,0.569,0.1472,0.1285,0.929,0.062,-420.0,-450,-390,0.1285
-410.0,0.569,0.1472,0.1107,0.929,0.062,-410.0,-440,-380,0.1107
-400.0,0.569,0.1472,0.0728,0.929,0.062,-400.0,-430,-370,0.0728
-390.0,0.569,0.1472,0.0831,0.929,0.062,-390.0,-420,-360,0.0831
-380.0,0.569,0.1472,0.0804,0.929,0.062,-380.0,-410,-350,0.0804
-370.0,0.569,0.1472,0.1055,0.929,0.062,-370.0,-400,-340,0.1055
-360.0,0.569,0.1472,0.0967,0.929,0.062,-360.0,-390,-330,0.0967
-350.0,0.569,0.1472,0.0803,0.929,0.062,-350.0,-380,-320,0.0803
-340.0,0.569,0.1472,0.0883,0.929,0.062,-340.0,-370,-310,0.0883
-330.0,0.569,0.1472,0.0717,0.929,0.062,-330.0,-360,-300,0.0717
-320.0,0.569,0.1472,0.0908,0.929,0.062,-320.0,-350,-290,0.0908
-310.0,0.569,0.1472,0.0711,0.929,0.062,-310.0,-340,-280,0.0711
-300.0,0.569,0.1472,0.0832,0.929,0.062,-300.0,-330,-270,0.0832
-290.0,0.569,0.1472,0.1381,0.929,0.062,-290.0,-320,-260,0.1381
-280.0,0.569,0.1472,0.1287,0.929,0.062,-280.0,-310,-250,0.1287
-270.0,0.569,0.1472,0.1282,0.929,0.062,-270.0,-300,-240,0.1282
-260.0,0.569,0.1472,0.1183,0.929,0.062,-260.0,-290,-230,0.1183
-250.0,0.569,0.1472,0.1863,0.929,0.062,-250.0,-280,-220,0.1863
-240.0,0.569,0.1472,0.1635,0.929,0.062,-240.0,-270,-210,0.1635
-230.0,0.569,0.1472,0.1312,0.929,0.062,-230.0,-260,-200,0.1312
-220.0,0.569,0.1472,0.1272,0.929,0.062,-220.0,-250,-190,0.1272
-210.0,0.569,0.1472,0.1457,0.929,0.062,-210.0,-240,-180,0.1457
-200.0,0.569,0.1472,0.1556,0.929,0.062,-200.0,-230,-170,0.1556
-190.0,0.569,0.1472,0.111,0.929,0.062,-190.0,-220,-160,0.111
-180.0,0.569,0.1472,0.112,0.929,0.062,-180.0,-210,-150,0.112
-170.0,0.569,0.1472,0.1199,0.929,0.062,-170.0,-200,-140,0.1199
-160.0,0.569,0.1472,0.126,0.929,0.062,-160.0,-190,-130,0.126
-150.0,0.569,0.1472,0.0942,0.929,0.062,-150.0,-180,-120,0.0942
-140.0,0.569,0.1472,0.0931,0.929,0.062,-140.0,-170,-110,0.0931
-130.0,0.569,0.1472,0.0739,0.929,0.062,-130.0,-160,-100,0.0739
-120.0,0.569,0.1472,0.085,0.929,0.062,-120.0,-150,-90,0.085
-110.0,0.569,0.1472,0.0875,0.929,0.062,-110.0,-140,-80,0.0875
-100.0,0.569,0.1472,0.0784,0.929,0.062,-100.0,-130,-70,0.0784
-90.0,0.569,0.1472,0.0852,0.929,0.062,-90.0,-120,-60,0.0852
-80.0,0.569,0.1472,0.0686,0.929,0.062,-80.0,-110,-50,0.0686
-70.0,0.569,0.1472,0.0821,0.929,0.062,-70.0,-100,-40,0.0821
-60.0,0.569,0.1472,0.086,0.929,0.062,-60.0,-90,-30,0.086
-50.0,0.569,0.1472,0.0914,0.929,0.062,-50.0,-80,-20,0.0914
-40.0,0.569,0.1472,0.1034,0.929,0.062,-40.0,-70,-10,0.1034
-30.0,0.569,0.1472,0.1049,0.929,0.062,-30.0,-60,0,0.1049
-20.0,0.569,0.1472,0.1076,0.929,0.062,-20.0,-50,10,0.1076
-10.0,0.569,0.1472,0.108,0.929,0.062,-10.0,-40,20,0.108
0.0,0.569,0.1472,0.0871,0.929,0.062,0.0,-30,30,0.0871
10.0,0.569,0.1472,0.1253,0.929,0.062,10.0,-20,40,0.1253
20.0,0.569,0.1472,0.1552,0.929,0.062,20.0,-10,50,0.1552
30.0,0.569,0.1472,0.1731,0.929,0.062,30.0,0,60,0.1731
40.0,0.569,0.1472,0.1503,0.929,0.062,40.0,10,70,0.1503
50.0,0.569,0.1472,0.1719,0.929,0.062,50.0,20,80,0.1719
60.0,0.569,0.1472,0.1826,0.929,0.062,60.0,30,90,0.1826
70.0,0.569,0.1472,0.1398,0.929,0.062,70.0,40,100,0.1398
80.0,0.569,0.1472,0.1082,0.929,0.062,80.0,50,110,0.1082
90.0,0.569,0.1472,0.1628,0.929,0.062,90.0,60,120,0.1628
100.0,0.569,0.1472,0.281,0.929,0.062,100.0,70,130,0.281
110.0,0.569,0.1472,0.2659,0.929,0.062,110.0,80,140,0.2659
120.0,0.569,0.1472,0.2805,0.929,0.062,120.0,90,150,0.2805
130.0,0.569,0.1472,0.3109,0.929,0.062,130.0,100,160,0.3109
140.0,0.569,0.1472,0.3362,0.929,0.062,140.0,110,170,0.3362
150.0,0.569,0.1472,0.3441,0.929,0.062,150.0,120,180,0.3441
160.0,0.569,0.1472,0.3632,0.929,0.062,160.0,130,190,0.3632
170.0,0.569,0.1472,0.3881,0.929,0.062,170.0,140,200,0.3881
180.0,0.569,0.1472,0.3943,0.929,0.062,180.0,150,210,0.3943
190.0,0.569,0.1472,0.3655,0.929,0.062,190.0,160,220,0.3655
200.0,0.569,0.1472,0.3707,0.929,0.062,200.0,170,230,0.3707
210.0,0.569,0.1472,0.3677,0.929,0.062,210.0,180,240,0.3677
220.0,0.569,0.1472,0.3364,0.929,0.062,220.0,190,250,0.3364
230.0,0.569,0.1472,0.4145,0.929,0.062,230.0,200,260,0.4145
240.0,0.569,0.1472,0.4348,0.929,0.062,240.0,210,270,0.4348
250.0,0.569,0.1472,0.437,0.929,0.062,250.0,220,280,0.437
260.0,0.569,0.1472,0.5043,0.929,0.062,260.0,230,290,0.5043
270.0,0.569,0.1472,0.48,0.929,0.062,270.0,240,300,0.48
280.0,0.569,0.1472,0.4898,0.929,0.062,280.0,250,310,0.4898
290.0,0.569,0.1472,0.4353,0.929,0.062,290.0,260,320,0.4353
300.0,0.569,0.1472,0.4689,0.929,0.062,300.0,270,330,0.4689
310.0,0.569,0.1472,0.5318,0.929,0.062,310.0,280,340,0.5318
320.0,0.569,0.1472,0.4853,0.929,0.062,320.0,290,350,0.4853
330.0,0.569,0.1472,0.5213,0.929,0.062,330.0,300,360,0.5213
340.0,0.569,0.1472,0.4979,0.929,0.062,340.0,310,370,0.4979
350.0,0.569,0.1472,0.547,0.929,0.062,350.0,320,380,0.547
360.0,0.569,0.1472,0.527,0.929,0.062,360.0,330,390,0.527
370.0,0.569,0.1472,0.4649,0.929,0.062,370.0,340,400,0.4649
380.0,0.569,0.1472,0.4452,0.929,0.062,380.0,350,410,0.4452
390.0,0.569,0.1472,0.4639,0.929,0.062,390.0,360,420,0.4639
400.0,0.569,0.1472,0.4702,0.929,0.062,400.0,370,430,0.4702
410.0,0.569,0.1472,0.4059,0.929,0.062,410.0,380,440,0.4059
420.0,0.569,0.1472,0.394,0.929,0.062,420.0,390,450,0.394
430.0,0.569,0.1472,0.4514,0.929,0.062,430.0,400,460,0.4514
440.0,0.569,0.1472,0.4357,0.929,0.062,440.0,410,470,0.4357
450.0,0.569,0.1472,0.3745,0.929,0.062,450.0,420,480,0.3745
460.0,0.569,0.1472,0.3861,0.929,0.062,460.0,430,490,0.3861
470.0,0.569,0.1472,0.3913,0.929,0.062,470.0,440,500,0.3913
480.0,0.569,0.1472,0.3779,0.929,0.062,480.0,450,510,0.3779
490.0,0.569,0.1472,0.3753,0.929,0.062,490.0,460,520,0.3753
500.0,0.569,0.1472,0.4819,0.929,0.062,500.0,470,530,0.4819
510.0,0.569,0.1472,0.5396,0.929,0.062,510.0,480,540,0.5396
520.0,0.569,0.1472,0.5655,0.929,0.062,520.0,490,550,0.5655
530.0,0.569,0.1472,0.5276,0.929,0.062,530.0,500,560,0.5276
540.0,0.569,0.1472,0.5243,0.929,0.062,540.0,510,570,0.5243
550.0,0.569,0.1472,0.5358,0.929,0.062,550.0,520,580,0.5358
560.0,0.569,0.1472,0.494,0.929,0.062,560.0,530,590,0.494
570.0,0.569,0.1472,0.5158,0.929,0.062,570.0,540,600,0.5158
580.0,0.569,0.1472,0.5428,0.929,0.062,580.0,550,610,0.5428
590.0,0.569,0.1472,0.5646,0.929,0.062,590.0,560,620,0.5646
600.0,0.569,0.1472,0.5788,0.929,0.062,600.0,570,630,0.5788
610.0,0.569,0.1472,0.571,0.929,0.062,610.0,580,640,0.571
620.0,0.569,0.1472,0.5779,0.929,0.062,620.0,590,650,0.5779
630.0,0.569,0.1472,0.5038,0.929,0.062,630.0,600,660,0.5038
640.0,0.569,0.1472,0.4812,0.929,0.062,640.0,610,670,0.4812
650.0,0.569,0.1472,0.4801,0.929,0.062,650.0,620,680,0.4801
660.0,0.569,0.1472,0.4858,0.929,0.062,660.0,630,690,0.4858
670.0,0.569,0.1472,0.5092,0.929,0.062,670.0,640,700,0.5092
680.0,0.569,0.1472,0.5439,0.929,0.062,680.0,650,710,0.5439
690.0,0.569,0.1472,0.5705,0.929,0.062,690.0,660,720,0.5705
700.0,0.569,0.1472,0.5354,0.929,0.062,700.0,670,730,0.5354
710.0,0.569,0.1472,0.5676,0.929,0.062,710.0,680,740,0.5676
720.0,0.569,0.1472,0.5353,0.929,0.062,720.0,690,750,0.5353
730.0,0.569,0.1472,0.5063,0.929,0.062,730.0,700,760,0.5063
740.0,0.569,0.1472,0.4352,0.929,0.062,740.0,710,770,0.4352
750.0,0.569,0.1472,0.4325,0.929,0.062,750.0,720,780,0.4325
760.0,0.569,0.1472,0.4555,0.929,0.062,760.0,730,790,0.4555
770.0,0.569,0.1472,0.4585,0.929,0.062,770.0,740,800,0.4585
780.0,0.569,0.1472,0.4743,0.929,0.062,780.0,750,810,0.4743
790.0,0.569,0.1472,0.4041,0.929,0.062,790.0,760,820,0.4041
800.0,0.569,0.1472,0.3669,0.929,0.062,800.0,770,830,0.3669
810.0,0.569,0.1472,0.387,0.929,0.062,810.0,780,840,0.387
820.0,0.569,0.1472,0.3558,0.929,0.062,820.0,790,850,0.3558
830.0,0.569,0.1472,0.3292,0.929,0.062,830.0,800,860,0.3292
840.0,0.569,0.1472,0.3254,0.929,0.062,840.0,810,870,0.3254
850.0,0.569,0.1472,0.3645,0.929,0.062,850.0,820,880,0.3645
860.0,0.569,0.1472,0.3904,0.929,0.062,860.0,830,890,0.3904
870.0,0.569,0.1472,0.4172,0.929,0.062,870.0,840,900,0.4172
880.0,0.569,0.1472,0.4589,0.929,0.062,880.0,850,910,0.4589
890.0,0.569,0.1472,0.4928,0.929,0.062,890.0,860,920,0.4928
900.0,0.569,0.1472,0.5239,0.929,0.062,900.0,870,930,0.5239
910.0,0.569,0.1472,0.525,0.929,0.062,910.0,880,940,0.525
920.0,0.569,0.1472,0.5384,0.929,0.062,920.0,890,950,0.5384
930.0,0.569,0.1472,0.589,0.929,0.062,930.0,900,960,0.589
940.0,0.569,0.1472,0.573,0.929,0.062,940.0,910,970,0.573
950.0,0.569,0.1472,0.5463,0.929,0.062,950.0,920,980,0.5463
960.0,0.569,0.1472,0.5838,0.929,0.062,960.0,930,990,0.5838
970.0,0.569,0.1472,0.5418,0.929,0.062,970.0,940,1000,0.5418
980.0,0.569,0.1472,0.514,0.929,0.062,980.0,950,1010,0.514
990.0,0.569,0.1472,0.4573,0.929,0.062,990.0,960,1020,0.4573
1000.0,0.569,0.1472,0.4303,0.929,0.062,1000.0,970,1030,0.4303
1010.0,0.569,0.1472,0.4143,0.929,0.062,1010.0,980,1040,0.4143
1020.0,0.569,0.1472,0.3415,0.929,0.062,1020.0,990,1050,0.3415
1030.0,0.569,0.1472,0.4071,0.929,0.062,1030.0,1000,1060,0.4071
1040.0,0.569,0.1472,0.4153,0.929,0.062,1040.0,1010,1070,0.4153
1050.0,0.569,0.1472,0.4734,0.929,0.062,1050.0,1020,1080,0.4734
1060.0,0.569,0.1472,0.5286,0.929,0.062,1060.0,1030,1090,0.5286
1070.0,0.569,0.1472,0.5338,0.929,0.062,1070.0,1040,1100,0.5338
1080.0,0.569,0.1472,0.5778,0.929,0.062,1080.0,1050,1110,0.5778
1090.0,0.569,0.1472,0.4663,0.929,0.062,1090.0,1060,1120,0.4663
1100.0,0.569,0.1472,0.4448,0.929,0.062,1100.0,1070,1130,0.4448
1110.0,0.569,0.1472,0.3827,0.929,0.062,1110.0,1080,1140,0.3827
1120.0,0.569,0.1472,0.3795,0.929,0.062,1120.0,1090,1150,0.3795
1130.0,0.569,0.1472,0.3923,0.929,0.062,1130.0,1100,1160,0.3923
1140.0,0.569,0.1472,0.3448,0.929,0.062,1140.0,1110,1170,0.3448
1150.0,0.569,0.1472,0.4235,0.929,0.062,1150.0,1120,1180,0.4235
1160.0,0.569,0.1472,0.4524,0.929,0.062,1160.0,1130,1190,0.4524
1170.0,0.569,0.1472,0.473,0.929,0.062,1170.0,1140,1200,0.473
1180.0,0.569,0.1472,0.4441,0.929,0.062,1180.0,1150,1210,0.4441
1190.0,0.569,0.1472,0.4653,0.929,0.062,1190.0,1160,1220,0.4653
1200.0,0.569,0.1472,0.5132,0.929,0.062,1200.0,1170,1230,0.5132
1210.0,0.569,0.1472,0.5833,0.929,0.062,1210.0,1180,1240,0.5833
1220.0,0.569,0.1472,0.5604,0.929,0.062,1220.0,1190,1250,0.5604
1230.0,0.569,0.1472,0.5698,0.929,0.062,1230.0,1200,1260,0.5698
1240.0,0.569,0.1472,0.5929,0.929,0.062,1240.0,1210,1270,0.5929
1250.0,0.569,0.1472,0.5664,0.929,0.062,1250.0,1220,1280,0.5664
1260.0,0.569,0.1472,0.5367,0.929,0.062,1260.0,1230,1290,0.5367
1270.0,0.569,0.1472,0.5063,0.929,0.062,1270.0,1240,1300,0.5063
1280.0,0.569,0.1472,0.4803,0.929,0.062,1280.0,1250,1310,0.4803
1290.0,0.569,0.1472,0.4747,0.929,0.062,1290.0,1260,1320,0.4747
1300.0,0.569,0.1472,0.4967,0.929,0.062,1300.0,1270,1330,0.4967
1310.0,0.569,0.1472,0.5017,0.929,0.062,1310.0,1280,1340,0.5017
1320.0,0.569,0.1472,0.489,0.929,0.062,1320.0,1290,1350,0.489
1330.0,0.569,0.1472,0.4695,0.929,0.062,1330.0,1300,1360,0.4695
1340.0,0.569,0.1472,0.4853,0.929,0.062,1340.0,1310,1370,0.4853
1350.0,0.569,0.1472,0.4508,0.929,0.062,1350.0,1320,1380,0.4508
1360.0,0.569,0.1472,0.3999,0.929,0.062,1360.0,1330,1390,0.3999
1370.0,0.569,0.1472,0.3687,0.929,0.062,1370.0,1340,1400,0.3687
1380.0,0.569,0.1472,0.4118,0.929,0.062,1380.0,1350,1410,0.4118
1390.0,0.569,0.1472,0.4452,0.929,0.062,1390.0,1360,1420,0.4452
1400.0,0.569,0.1472,0.5211,0.929,0.062,1400.0,1370,1430,0.5211
1410.0,0.569,0.1472,0.5724,0.929,0.062,1410.0,1380,1440,0.5724
1420.0,0.569,0.1472,0.5812,0.929,0.062,1420.0,1390,1450,0.5812
1430.0,0.569,0.1472,0.6089,0.929,0.062,1430.0,1400,1460,0.6089
1440.0,0.569,0.1472,0.5915,0.929,0.062,1440.0,1410,1470,0.5915
1450.0,0.569,0.1472,0.559,0.929,0.062,1450.0,1420,1480,0.559
1460.0,0.569,0.1472,0.5287,0.929,0.062,1460.0,1430,1490,0.5287
1470.0,0.569,0.1472,0.4877,0.929,0.062,1470.0,1440,1500,0.4877
